id,name
1,STATE BANK OF INDIA
2,PUNJAB NATIONAL BANK
3,CANARA BANK
4,BANK OF BARODA
5,HDFC BANK
6,BANK OF INDIA
7,CENTRAL BANK OF INDIA
8,ICICI BANK LIMITED
9,UNION BANK OF INDIA
10,SYNDICATE BANK
11,ALLAHABAD BANK
12,INDIAN OVERSEAS BANK
13,AXIS BANK
14,UCO BANK
15,ANDHRA BANK
16,IDBI BANK
17,YES BANK
18,INDIAN BANK
19,ORIENTAL BANK OF COMMERCE
20,CORPORATION BANK
21,UNITED BANK OF INDIA
22,VIJAYA BANK
23,BANK OF MAHARASHTRA
24,STATE BANK OF HYDERABAD
25,DENA BANK
26,PUNJAB AND SIND BANK
27,STATE BANK OF BIKANER AND JAIPUR
28,STATE BANK OF PATIALA
29,FEDERAL BANK
30,STATE BANK OF TRAVANCORE
31,STATE BANK OF MYSORE
32,KOTAK MAHINDRA BANK LIMITED
33,INDUSIND BANK
34,JAMMU AND KASHMIR BANK LIMITED
35,SOUTH INDIAN BANK
36,KARNATAKA BANK LIMITED
37,KARUR VYSYA BANK
38,THE ANDHRA PRADESH STATE COOPERATIVE BANK LIMITED
39,PRAGATHI KRISHNA GRAMIN BANK
40,ING VYSYA BANK
41,KARNATAKA VIKAS GRAMEENA BANK
42,BANDHAN BANK LIMITED
43,KERALA GRAMIN BANK
44,CITY UNION BANK LIMITED
45,THE SHAMRAO VITHAL COOPERATIVE BANK
46,ANDHRA PRAGATHI GRAMEENA BANK
47,THE RAJASTHAN STATE COOPERATIVE BANK LIMITED
48,TAMILNAD MERCANTILE BANK LIMITED
49,LAXMI VILAS BANK
50,CATHOLIC SYRIAN BANK LIMITED
51,PRATHAMA BANK
52,SARASWAT COOPERATIVE BANK LIMITED
53,THE WEST BENGAL STATE COOPERATIVE BANK
54,DHANALAKSHMI BANK
55,THE KANGRA CENTRAL COOPERATIVE BANK LIMITED
56,RATNAKAR BANK LIMITED
57,DCB BANK LIMITED
58,THE COSMOS CO OPERATIVE BANK LIMITED
59,THE NAINITAL BANK LIMITED
60,ABHYUDAYA COOPERATIVE BANK LIMITED
61,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
62,PUNJAB AND MAHARSHTRA COOPERATIVE BANK
63,THE THANE DISTRICT CENTRAL COOPERATIVE BANK LIMIT
64,STANDARD CHARTERED BANK
65,NKGSB COOPERATIVE BANK LIMITED
66,TJSB SAHAKARI BANK LTD
67,BHARATIYA MAHILA BANK LIMITED
68,BHARAT COOPERATIVE BANK MUMBAI LIMITED
69,THE GUJARAT STATE COOPERATIVE BANK LIMITED
70,THE MUMBAI DISTRICT CENTRAL COOPERATIVE BANK LIMI
71,THE NASIK MERCHANTS COOPERATIVE BANK LIMITED
72,MAHANAGAR COOPERATIVE BANK
73,THE SURAT DISTRICT COOPERATIVE BANK LIMITED
74,APNA SAHAKARI BANK LIMITED
75,G P PARSIK BANK
76,THE KARANATAKA STATE COOPERATIVE APEX BANK LIMITE
77,JANATA SAHAKARI BANK LIMITED
78,HSBC BANK
79,MAHARASHTRA STATE COOPERATIVE BANK
80,KALUPUR COMMERCIAL COOPERATIVE BANK
81,ALMORA URBAN COOPERATIVE BANK LIMITED
82,THE DELHI STATE COOPERATIVE BANK LIMITED
83,THE KARAD URBAN COOPERATIVE BANK LIMITED
84,BASSEIN CATHOLIC COOPERATIVE BANK LIMITED
85,DOMBIVLI NAGARI SAHAKARI BANK LIMITED
86,NAGAR URBAN CO OPERATIVE BANK
87,CITI BANK
88,NAGPUR NAGARIK SAHAKARI BANK LIMITED
89,THE MEHSANA URBAN COOPERATIVE BANK
90,KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BA
91,THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED
92,CAPITAL LOCAL AREA BANK LIMITED
93,CITIZEN CREDIT COOPERATIVE BANK LIMITED
94,THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED
95,SOLAPUR JANATA SAHAKARI BANK LIMITED
96,KALYAN JANATA SAHAKARI BANK
97,SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE
98,JALGAON JANATA SAHAKARI BANK LIMITED
99,THE JALGAON PEOPELS COOPERATIVE BANK LIMITED
100,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
101,ZILA SAHAKRI BANK LIMITED GHAZIABAD
102,PRIME COOPERATIVE BANK LIMITED
103,AHMEDABAD MERCANTILE COOPERATIVE BANK
104,IDFC BANK LIMITED
105,JANASEVA SAHAKARI BANK LIMITED
106,NEW INDIA COOPERATIVE BANK LIMITED
107,THE VISHWESHWAR SAHAKARI BANK LIMITED
108,RESERVE BANK OF INDIA
109,THE TAMIL NADU STATE APEX COOPERATIVE BANK
110,THE ROYAL BANK OF SCOTLAND N V
111,JANAKALYAN SAHAKARI BANK LIMITED
112,TUMKUR GRAIN MERCHANTS COOPERATIVE BANK LIMITED
113,THE SURATH PEOPLES COOPERATIVE BANK LIMITED
114,THE THANE BHARAT SAHAKARI BANK LIMITED
115,DEUSTCHE BANK
116,THE GREATER BOMBAY COOPERATIVE BANK LIMITED
117,THE MUNICIPAL COOPERATIVE BANK LIMITED
118,NUTAN NAGARIK SAHAKARI BANK LIMITED
119,THE ZOROASTRIAN COOPERATIVE BANK LIMITED
120,TJSB SAHAKARI BANK LIMITED
121,THE VARACHHA COOPERATIVE BANK LIMITED
122,VASAI VIKAS SAHAKARI BANK LIMITED
123,SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED
124,KAPOL COOPERATIVE BANK LIMITED
125,SUTEX COOPERATIVE BANK LIMITED
126,THE HASTI COOP BANK LTD
127,JANASEVA SAHAKARI BANK BORIVLI LIMITED
128,RAJGURUNAGAR SAHAKARI BANK LIMITED
129,SURAT NATIONAL COOPERATIVE BANK LIMITED
130,DEVELOPMENT BANK OF SINGAPORE
131,THE KANGRA COOPERATIVE BANK LIMITED
132,B N P PARIBAS
133,MIZUHO CORPORATE BANK LIMITED
134,SHINHAN BANK
135,BANK OF TOKYO MITSUBISHI LIMITED
136,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CAL
137,BANK OF AMERICA
138,BANK OF BAHARAIN AND KUWAIT BSC
139,THE BANK OF NOVA SCOTIA
140,BARCLAYS BANK
141,SOCIETE GENERALE
142,CHINATRUST COMMERCIAL BANK LIMITED
143,ABU DHABI COMMERCIAL BANK
144,SHIKSHAK SAHAKARI BANK LIMITED
145,BANK OF CEYLON
146,DOHA BANK
147,FIRSTRAND BANK LIMITED
148,DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATIO
149,CREDIT SUISEE AG
150,INDUSTRIAL BANK OF KOREA
